Uniprot_A,Uniprot_B,author_score
P54315-1,Q8TDT2, 0.649082052202
Q9NPQ8-1,Q9UNF0-1, 0.86330859615
B1AHH4,O76011, 0.887369326284
Q09327,Q9BSL1, 0.750462228947
P61236-2,M0QXR4, 0.83497334959
O43281-2,P06241-3, 0.89644266589
P18669,Q8IV45, 0.848398332168
Q5T7P2,Q07627, 0.948210043507
Q8N7M0-1,P50222,-
Q9NQ32-2,Q3SYF9, 0.683210221508
P62995-1,Q15415-1, 0.909767542088
P36406-1,Q96BZ8, 0.888271988981
P19012-1,P78324-2,-
P41271-1,Q8IUC1, 0.835840117356
O43639,P48023-1, 0.898505266375
Q13895,Q9H0H5, 0.85841950129
Q8N6Y0-1,Q9UPT5-1,-
A0A0C4DGE8,Q8IWZ5-1,-
Q9BYR3,Q15699, 0.803551001104
Q9Y4K3,Q13077-1,-
A0PJY2-1,Q5TD97, 0.789469267126
A0A075B739,Q9UKT9-1, 0.895495209258
Q9BUP3-1,Q9H6H4-1, 0.673989099778
P78369-1,Q9NUH8-1, 0.632569272559
Q96HA8-1,Q9BRK4,-
P57086,I3L3J2, 0.914893212586
Q96GE4-1,Q86Z20-1, 0.870629405833
P06753-2,Q9Y6D9-1,-
Q9UBU9-1,ENSP00000411822.1, 0.667012334659
Q5SNT2-2,Q53FP2, 0.678991587716
Q8N3T1,Q6DN72-1,-
J3KMX2,Q7Z3S9-1,-
Q8NF50-4,P50222,-
Q96AB3-1,Q96AB3-1,-
Q15323,Q53TS8-1,-
Q96MY7-2,Q9Y3M2, 0.824114968333
O75031-1,Q96HB5-1, 0.902339848636
A0A087WZP6,Q5T749, 0.849499451762
Q13227-1,Q53HV7-2, 0.800783658847
A0JP26,Q16874, 0.743690885629
Q68D86-1,Q96PV4,-
Q08426-1,P63261,-
Q02930-4,Q9GZV8, 0.792011916788
P55212-1,Q96HA8-1, 0.926069462941
Q96MM6,O95967, 0.867620467404
P31749-1,P56279,-
P26715-1,P48509, 0.831881574019
P60903,Q8NB16-2, 0.73304051224
Q9BWQ6,Q96GF1-1,-
Q9Y3M9-1,Q86Z20-1, 0.857765524951
Q9BQ61,P09012,-
Q9Y262-1,Q9UBQ5-1,-
O60504-2,Q8N684-1,-
Q9UNK0,Q9Y680-2, 0.702250844295
Q9H788-1,A1L4K1-1,-
P07910-1,P63165-1,-
F8W808,P50222,-
A0A1B0GTW0,A6NM10-2, 0.693752861599
Q13021,Q8N9I0, 0.718336092307
Q68D86-1,Q96KQ4, 0.856258217338
Q9BYR3,Q6L8G8, 0.925894996628
Q14142-1,Q9Y247, 0.880368734109
P56470,Q96NM4-3, 0.793380358273
Q8WWP7,Q9H6H4-1, 0.672499507821
Q15172-1,Q8N6Y0-1, 0.896959950279
ENSP00000476265.1,Q15735-2,-
Q6NVZ8,Q96E35, 0.849754778697
Q9BRQ3-1,P17023-1,-
P42773,Q04864-2,-
P12004,P38936,-
Q86TG7-2,Q17RB0, 0.933181417359
