Uniprot_A	Uniprot_B
P16333	O60496
P61769	P10321
Q9WV48	P97836-5
Q9QX74	P97836-5
Q9BYB0	P97836-5
P97836-5	Q9WV48-4
P97836-5	P78352
P78352	P15385
P97836-5	P78352
Q9WV48-4	P78352
Q9WV48-4	P97836-5
P78352	P97836-5
Q9WV48-4	P97836
Q9WV48-4	P31016
Q9WV48-4	P35439
Q9WV48-4	Q63622
Q9WV48	P97836-5
Q9WV48	P31016
Q9WV48	P97836
Q9WV48	Q63622
P97836	Q9WV48
P97836	P31016
P97836	Q63622
P97836	Q9WV48
P97836	P31016
Q9JLU4	Q9JLU4
Q9JLU4	Q9JLU4
Q03692	P07237
P30101	P27797
P55196	O14807
O14807	P55196
Q07817	P49810
P49768	Q07817
P49810	Q07817
Q07817	P49810
P35244	P15927
P49106	Q00403
P46077	Q00403
P42644	Q00403
Q00403	Q96300
Q00403	Q01525
Q00403	P42643
Q00403	P46077
P62258	P20226
Q00403	P62258
P28148	P46077
P46077	P48512
Q16594	P62258
Q08999	Q99708
Q08999	Q99708
Q13322	P09619
Q00975	O35430
Q02294	O14936
O35430	Q00975
Q02294	O35430
Q00975	O35430
P46108	P11362
P70196	Q9QZH6
Q9QZH6	Q9Y4K3
Q9QZH6	Q9Y4K3
P53349	Q9QZH6
Q9U6M0	Q9UAC4
Q9QZH6	P70196
O15360	O15287
Q05048	Q99728
Q05048	Q99728
Q99728	Q05048
Q99728	Q05048
O95602	Q99728
O95602	Q05048
P12004	Q99728
Q05048	P12004
Q99728	P33240
P33240	Q99728
Q99728	P33240
Q99728	P38398
P33240	Q99728
P33240	P38398
P38398	P33240
P38398	Q99728
Q99728	P33240
P32927	P63104
P35436	O54824
Q00960	O54824
Q00961	O54824
O54824	Q62645
O54824	P52189
P35561	O54824
P49655	O54824
O54824	Q99712
O54824	Q03719
O54824	Q63881
Q62897	O54824
Q01815	O54824
Q01098	O54824
Q62645	O54824
P49655	O54824
Q99712	O54824
Q01815	O54824
P35436	O54824
P49759	P18031
P49760	P18031
Q92837	P49840
Q92837	intact:EBI-11789122
Q92837	G1T8E2
O15169	G1T8E2
O15169	G1T8E2
O15169	Q92837
O15169	intact:EBI-11789122
O15169	Q92837
O15169	intact:EBI-11789122
P49841	Q02248
Q02248	Q92837
Q02248	P49841
P49841	O15169
O15169	Q92837
O15169	P49841
P49841	Q13144
Q13144	Q92837
Q13144	P49841
P49841	P13807
P03126	Q09472
P03126	Q09472
P03126	Q09472
Q09472	P03126
P06462	Q92793
P03126	Q09472
Q92793	P03126
P03126	Q09472
P03126	Q92793
P03126	Q09472
Q09472	P06462
Q09472	P06462
Q09472	P03126
P27986	P29350
P27986	P29350
P27958-PRO_0000037576	P27958-PRO_0000037574
P19525	P27958-PRO_0000037576
Q01831	P54727
P54727	P55036
P54727	P62195
P54727	P55036
P55036	P54727
P54725	P55036
P55036	P54727
P55036	P54727
P54725	P55036
Q01831	P54727
P52565	P61586
P01138	P04629
P01138	P04629
P09038	P11362
P61020	Q15075
P20339	Q15075
Q15075	P61020
P61020	Q15075
P02652	P27958-PRO_0000037566
P02652	P27958-PRO_0000037566
Q04206	P25963
Q04206	Q15653
Q04206	P19838
Q04864	Q04206
Q04206	Q04206
Q04206	Q13625-2
Q04206	P25963
Q04206	Q13625-2
Q04206	Q04206
Q04206	Q04864
Q15653	Q04206
P19838	Q04206
Q04206	Q13625-2
Q13625-2	Q04206
Q04206	Q13625-2
Q04206	Q13625-2
P06241	O09127
Q8IZP0	Q07889
Q07889	Q8IZP0
P27986	P06213
P60228	P14373
Q99613	P60228
P14373	P60228
